Date,Open,High,Low,Close,Adj Close,Volume
07-05-2021,14816.85,14863.05,14765.5,14823.15,14823.15,488000
10-05-2021,14928.25,14966.9,14892.5,14942.35,14942.35,522000
11-05-2021,14789.7,14900,14771.4,14850.75,14850.75,647400
12-05-2021,14823.55,14824.05,14649.7,14696.5,14696.5,643800
14-05-2021,14749.4,14749.65,14591.9,14677.8,14677.8,620700
17-05-2021,14756.25,14938,14725.35,14923.15,14923.15,546400
18-05-2021,15067.2,15137.25,15043.7,15108.1,15108.1,583900
19-05-2021,15058.6,15133.4,15008.85,15030.15,15030.15,569100
20-05-2021,15042.6,15069.8,14884.9,14906.05,14906.05,480300
21-05-2021,14987.8,15190,14985.85,15175.3,15175.3,572900
24-05-2021,15211.35,15256.25,15145.45,15197.7,15197.7,579800
25-05-2021,15291.75,15293.85,15163.4,15208.45,15208.45,441500
26-05-2021,15257.05,15319.9,15194.95,15301.45,15301.45,384000
27-05-2021,15323.95,15384.55,15272.5,15337.85,15337.85,0
28-05-2021,15421.2,15469.65,15394.75,15435.65,15435.65,468100
31-05-2021,15437.75,15606.35,15374,15582.8,15582.8,436000
01-06-2021,15629.65,15660.75,15528.3,15574.85,15574.85,409600
02-06-2021,15520.35,15597.45,15459.85,15576.2,15576.2,428600
03-06-2021,15655.55,15705.1,15611,15690.35,15690.35,410200
04-06-2021,15712.5,15733.6,15622.35,15670.25,15670.25,414200
07-06-2021,15725.1,15773.45,15678.1,15751.65,15751.65,394000
08-06-2021,15773.9,15778.8,15680,15740.1,15740.1,378200
09-06-2021,15766.3,15800.45,15566.9,15635.35,15635.35,457900
10-06-2021,15692.1,15751.25,15648.5,15737.75,15737.75,298300
11-06-2021,15796.45,15835.55,15749.8,15799.35,15799.35,363000
14-06-2021,15791.4,15823.05,15606.5,15811.85,15811.85,392900
15-06-2021,15866.95,15901.6,15842.4,15869.25,15869.25,323300
16-06-2021,15847.5,15880.85,15742.6,15767.55,15767.55,340200
17-06-2021,15648.3,15769.35,15616.75,15691.4,15691.4,357600
18-06-2021,15756.5,15761.5,15450.9,15683.35,15683.35,640800
21-06-2021,15525.85,15765.15,15505.65,15746.5,15746.5,351500
22-06-2021,15840.5,15895.75,15752.1,15772.75,15772.75,322200
23-06-2021,15862.8,15862.95,15673.95,15686.95,15686.95,287500
24-06-2021,15737.3,15821.4,15702.7,15790.45,15790.45,316700
25-06-2021,15839.35,15870.8,15772.3,15860.35,15860.35,314600
28-06-2021,15915.35,15915.65,15792.15,15814.7,15814.7,255100
29-06-2021,15807.5,15835.9,15724.05,15748.45,15748.45,360300
30-06-2021,15776.9,15839.1,15708.75,15721.5,15721.5,262400
01-07-2021,15755.05,15755.55,15667.05,15680,15680,224900
02-07-2021,15705.85,15738.35,15635.95,15722.2,15722.2,254800
05-07-2021,15793.4,15845.95,15762.05,15834.35,15834.35,207000
06-07-2021,15813.75,15914.2,15801,15818.25,15818.25,391400
07-07-2021,15819.6,15893.55,15779.7,15879.65,15879.65,329300
08-07-2021,15855.4,15885.75,15682.9,15727.9,15727.9,307900
09-07-2021,15688.25,15730.85,15632.75,15689.8,15689.8,243200
